haul_id	proportion_name	Autumn_%	North_%	Central_%	South_%	Actual_A_count	Actual_N_count	Actual_C_count	Actual_S_count
haul_0033	0A_0N_0C_100S	0	0	0	100	0	0	0	30
haul_0034	0A_0N_0C_100S	0	0	0	100	0	0	0	30
haul_0035	0A_0N_0C_100S	0	0	0	100	0	0	0	30
haul_0036	0A_0N_0C_100S	0	0	0	100	0	0	0	30
haul_0037	0A_0N_0C_100S	0	0	0	100	0	0	0	30
haul_0038	0A_0N_0C_100S	0	0	0	100	0	0	0	30
haul_0039	0A_0N_0C_100S	0	0	0	100	0	0	0	30
haul_0040	0A_0N_0C_100S	0	0	0	100	0	0	0	30
haul_0041	0A_33N_33C_34S	0	33	33	34	0	10	10	10
haul_0042	0A_33N_33C_34S	0	33	33	34	0	10	10	10
haul_0043	0A_33N_33C_34S	0	33	33	34	0	10	10	10
haul_0044	0A_33N_33C_34S	0	33	33	34	0	10	10	10
haul_0045	0A_33N_33C_34S	0	33	33	34	0	10	10	10
haul_0046	0A_33N_33C_34S	0	33	33	34	0	10	10	10
haul_0047	0A_33N_33C_34S	0	33	33	34	0	10	10	10
haul_0048	0A_33N_33C_34S	0	33	33	34	0	10	10	10
haul_0049	0A_33N_33C_34S	0	33	33	34	0	10	10	10
haul_0050	0A_33N_33C_34S	0	33	33	34	0	10	10	10
haul_0051	90A_10N_0C_0S	90	10	0	0	27	3	0	0
haul_0052	90A_10N_0C_0S	90	10	0	0	27	3	0	0
haul_0053	90A_10N_0C_0S	90	10	0	0	27	3	0	0
haul_0054	90A_10N_0C_0S	90	10	0	0	27	3	0	0
haul_0055	90A_10N_0C_0S	90	10	0	0	27	3	0	0
haul_0056	90A_10N_0C_0S	90	10	0	0	27	3	0	0
haul_0057	90A_10N_0C_0S	90	10	0	0	27	3	0	0
haul_0058	90A_10N_0C_0S	90	10	0	0	27	3	0	0
haul_0059	90A_10N_0C_0S	90	10	0	0	27	3	0	0
haul_0060	90A_10N_0C_0S	90	10	0	0	27	3	0	0
haul_0061	90A_0N_10C_0S	90	0	10	0	27	0	3	0
haul_0062	90A_0N_10C_0S	90	0	10	0	27	0	3	0
haul_0063	90A_0N_10C_0S	90	0	10	0	27	0	3	0
haul_0064	90A_0N_10C_0S	90	0	10	0	27	0	3	0
haul_0065	90A_0N_10C_0S	90	0	10	0	27	0	3	0
haul_0066	90A_0N_10C_0S	90	0	10	0	27	0	3	0
haul_0067	90A_0N_10C_0S	90	0	10	0	27	0	3	0
haul_0068	90A_0N_10C_0S	90	0	10	0	27	0	3	0
haul_0069	90A_0N_10C_0S	90	0	10	0	27	0	3	0
haul_0070	90A_0N_10C_0S	90	0	10	0	27	0	3	0
haul_0071	90A_0N_0C_10S	90	0	0	10	27	0	0	3
haul_0072	90A_0N_0C_10S	90	0	0	10	27	0	0	3
haul_0073	90A_0N_0C_10S	90	0	0	10	27	0	0	3
haul_0074	90A_0N_0C_10S	90	0	0	10	27	0	0	3
haul_0075	90A_0N_0C_10S	90	0	0	10	27	0	0	3
haul_0076	90A_0N_0C_10S	90	0	0	10	27	0	0	3
haul_0077	90A_0N_0C_10S	90	0	0	10	27	0	0	3
haul_0078	90A_0N_0C_10S	90	0	0	10	27	0	0	3
haul_0079	90A_0N_0C_10S	90	0	0	10	27	0	0	3
haul_0080	90A_0N_0C_10S	90	0	0	10	27	0	0	3
haul_0081	90A_3N_3C_4S	90	3	3	4	27	1	1	1
haul_0082	90A_3N_3C_4S	90	3	3	4	27	1	1	1
haul_0083	90A_3N_3C_4S	90	3	3	4	27	1	1	1
haul_0084	90A_3N_3C_4S	90	3	3	4	27	1	1	1
haul_0085	90A_3N_3C_4S	90	3	3	4	27	1	1	1
haul_0086	90A_3N_3C_4S	90	3	3	4	27	1	1	1
haul_0087	90A_3N_3C_4S	90	3	3	4	27	1	1	1
haul_0088	90A_3N_3C_4S	90	3	3	4	27	1	1	1
haul_0089	90A_3N_3C_4S	90	3	3	4	27	1	1	1
haul_0090	90A_3N_3C_4S	90	3	3	4	27	1	1	1
haul_0091	75A_25N_0C_0S	75	25	0	0	23	7	0	0
haul_0092	75A_25N_0C_0S	75	25	0	0	23	7	0	0
haul_0093	75A_25N_0C_0S	75	25	0	0	23	7	0	0
haul_0094	75A_25N_0C_0S	75	25	0	0	23	7	0	0
haul_0095	75A_25N_0C_0S	75	25	0	0	23	7	0	0
haul_0096	75A_25N_0C_0S	75	25	0	0	23	7	0	0
haul_0097	75A_25N_0C_0S	75	25	0	0	23	7	0	0
haul_0098	75A_25N_0C_0S	75	25	0	0	23	7	0	0
haul_0099	75A_25N_0C_0S	75	25	0	0	23	7	0	0
haul_0100	75A_25N_0C_0S	75	25	0	0	23	7	0	0
haul_0101	75A_0N_25C_0S	75	0	25	0	23	0	7	0
haul_0102	75A_0N_25C_0S	75	0	25	0	23	0	7	0
haul_0103	75A_0N_25C_0S	75	0	25	0	23	0	7	0
haul_0104	75A_0N_25C_0S	75	0	25	0	23	0	7	0
haul_0105	75A_0N_25C_0S	75	0	25	0	23	0	7	0
haul_0106	75A_0N_25C_0S	75	0	25	0	23	0	7	0
